Entity  Results
Vedanta Wake Up – Arapalayam Bus Stand	[1: ¬(hotel_facilities; Bathroom)=0.72 2: ¬(hotel_facilities; Food & Drink)=0.68 3: ¬(hotel_facilities; Laundry)=0.64]
Hotel Skyview	[1: ¬(hotel_facilities; Activities)=0.47 2: ¬(hotel_facilities; Restaurant)=0.42 3: ¬(hotel_facilities; Services)=0.42]
The Queeny	[1: ¬(hotel_facilities; Languages spoken)=0.74 2: ¬(hotel_facilities; Air conditioning)=0.6 3: ¬(hotel_facilities; Car hire)=0.51]
OYO Rooms RT Nagar HMT Playground	[1: ¬(hotel_facilities; Languages spoken)=0.74 2: ¬(hotel_facilities; Bathroom)=0.72 3: ¬(hotel_facilities; Media & Technology)=0.61]
Coramandal Heritage	[1: ¬(hotel_facilities; Languages spoken)=0.74 2: ¬(address; India – Show map)=0.74 3: ¬(hotel_facilities; Room service)=0.72]
Deccan Comforts	[1: ¬(hotel_facilities; Languages spoken)=0.74 2: ¬(hotel_facilities; Food & Drink)=0.68 3: ¬(hotel_facilities; Air conditioning)=0.6]
Eden Residency	[1: ¬(hotel_facilities; Pets are not allowed.)=0.86 2: ¬(hotel_facilities; Languages spoken)=0.74 3: ¬(hotel_facilities; Room service)=0.72]
Central Ninamma Boutique Resort, Gangtok	[1: ¬(hotel_facilities; Bathroom)=0.72 2: ¬(hotel_facilities; Laundry)=0.64 3: ¬(hotel_facilities; Media & Technology)=0.61]
The Sultan Resort	[1: ¬(hotel_facilities; Parking)=0.97 2: ¬(hotel_facilities; Fan)=0.57 3: ¬(hotel_facilities; Newspapers)=0.55]
Hotel Galaxy Inn	[1: ¬(hotel_facilities; Pets are not allowed.)=0.86 2: ¬(hotel_facilities; Toilet)=0.61 3: ¬(hotel_facilities; Air conditioning)=0.6]
OYO Rooms Samarth Nagar Road Varad Ganesh Mandir	[1: ¬(hotel_facilities; Bathroom)=0.72 2: ¬(hotel_facilities; Food & Drink)=0.68 3: ¬(hotel_facilities; Laundry)=0.64]
OYO Premium Mylapore Temple	[1: ¬(hotel_facilities; Bathroom)=0.72 2: ¬(hotel_facilities; Food & Drink)=0.68 3: ¬(hotel_facilities; Laundry)=0.64]
Heritage Apartment	[1: ¬(hotel_facilities; Pets are not allowed.)=0.86 2: ¬(hotel_facilities; General)=0.83 3: ¬(hotel_facilities; Languages spoken)=0.74]
Hotel Maharani Regency	[1: ¬(hotel_facilities; General)=0.83 2: ¬(hotel_facilities; Languages spoken)=0.74 3: ¬(hotel_facilities; Room service)=0.72]
Superior Nk Apartments Benaulim Goa	[1: ¬(hotel_facilities; General)=0.83 2: ¬(hotel_facilities; Languages spoken)=0.74 3: ¬(hotel_facilities; Room service)=0.72]
