Vedanta Wake Up – Arapalayam Bus Stand	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Newspapers; 1)=0.54 4: ¬(Bathroom_Shower; 1)=0.53 5: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5]
Hotel Skyview	[1: ¬(Food & Drink_Restaurant; 1)=0.42 2: ¬(property_type; 204)=0.38 3: ¬(Room Amenities_Clothes rack; 1)=0.33 4: ¬(Living Area_Desk; 1)=0.33 5: ¬(Media & Technology_TV; 1)=0.32]
The Queeny	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(Bedroom_Wardrobe/Closet; 1)=0.41 3: ¬(Bathroom_Towels; 1)=0.4 4: ¬(Cleaning services_Ironing service; 1)=0.37 5: ¬(Food & Drink_Breakfast in the room; 1)=0.36]
OYO Rooms RT Nagar HMT Playground	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53 4: ¬(General_Fan; 1)=0.46 5: ¬(Bathroom_Free toiletries; 1)=0.45]
Coramandal Heritage	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53 4: ¬(General_Fan; 1)=0.46 5: ¬(Bathroom_Free toiletries; 1)=0.45]
Deccan Comforts	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5 4: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.45 5: ¬(Cleaning services_Laundry; 1)=0.43]
Eden Residency	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Bathroom_Bathroom; 1)=0.59 3: ¬(Bathroom_Free toiletries; 1)=0.45 4: ¬(Food & Drink_Restaurant; 1)=0.42 5: ¬(General_Room service; 1)=0.38]
Central Ninamma Boutique Resort, Gangtok	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54 4: ¬(Bathroom_Shower; 1)=0.53 5: ¬(General_Fan; 1)=0.46]
The Sultan Resort	[1: ¬(General_Newspapers; 1)=0.54 2: ¬(General_Fan; 1)=0.46 3: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.45 4: ¬(property_type; 204)=0.38 5: ¬(Outdoors_Terrace; 1)=0.32]
Hotel Galaxy Inn	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54 4: ¬(General_Newspapers; 1)=0.54 5: ¬(Bathroom_Shower; 1)=0.53]
