Robert Tarjan	[1: ¬(field; computer science)=0.54 2: ¬(occupation; engineer)=0.44 3: ¬(member of; Royal Society)=0.22]
Raj Reddy	[1: ¬(member of; Association for Computing Machinery)=0.57 2: ¬(field; computer science)=0.54 3: ¬(member of; National Academy of Sciences)=0.51]
Yoshua Bengio	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.72 3: ¬(occupation; university teacher)=0.68]
Herbert Alexander Simon	[1: ¬(field; computer science)=0.54 2: ¬(member of; National Academy of Engineering)=0.51 3: ¬(occupation; mathematician)=0.47]
Edward Feigenbaum	[1: ¬(member of; National Academy of Sciences)=0.51 2: ¬(occupation; mathematician)=0.47 3: ¬(occupation; engineer)=0.44]
Vint Cerf	[1: ¬(occupation; mathematician)=0.47 2: ¬(employer; Massachusetts Institute of Technology)=0.25 3: ¬(field; informatics)=0.18]
Martin Edward Hellman	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(occupation; university teacher)=0.68 3: ¬(member of; Association for Computing Machinery)=0.57]
Shafrira Goldwasser	[1: ¬(member of; Association for Computing Machinery)=0.67 2: ¬(employer; IBM)=0.33 3: ¬(employer; University of California  Berkeley)=0.33]
Stephen Cook	[1: ¬(member of; National Academy of Engineering)=0.51 2: ¬(occupation; engineer)=0.44 3: ¬(employer; Massachusetts Institute of Technology)=0.25]
Amir Pnueli	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.72 3: ¬(member of; National Academy of Sciences)=0.51]
Leslie Lamport	[1: ¬(occupation; university teacher)=0.68 2: ¬(member of; Association for Computing Machinery)=0.57 3: ¬(member of; National Academy of Engineering)=0.51]
William Kahan	[1: ¬(citizen; United States of America)=0.72 2: ¬(field; computer science)=0.54 3: ¬(member of; National Academy of Sciences)=0.51]
Donald Knuth	[1: ¬(employer; Massachusetts Institute of Technology)=0.25 2: ¬(field; informatics)=0.18 3: ¬(employer; University of California  Berkeley)=0.16]
John L. Hennessy	[1: ¬(occupation; mathematician)=0.47 2: ¬(employer; Massachusetts Institute of Technology)=0.25 3: ¬(member of; Royal Society)=0.22]
Pat Hanrahan	[1: ¬(member of; National Academy of Sciences)=0.51 2: ¬(occupation; mathematician)=0.47 3: ¬(employer; Massachusetts Institute of Technology)=0.25]
John Backus	[1: ¬(occupation; university teacher)=0.68 2: ¬(member of; Association for Computing Machinery)=0.57 3: ¬(member of; National Academy of Engineering)=0.51]
Leslie Valiant	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(member of; Association for Computing Machinery)=0.57 3: ¬(member of; National Academy of Engineering)=0.51]
Michael Stonebraker	[1: ¬(occupation; university teacher)=0.68 2: ¬(field; computer science)=0.54 3: ¬(member of; National Academy of Sciences)=0.51]
Leonard Adleman	[1: ¬(occupation; university teacher)=0.68 2: ¬(member of; Association for Computing Machinery)=0.57 3: ¬(field; computer science)=0.54]
Juris Hartmanis	[1: ¬(occupation; engineer)=0.44 2: ¬(employer; Massachusetts Institute of Technology)=0.25 3: ¬(member of; Royal Society)=0.22]
Jim Gray	[1: ¬(occupation; university teacher)=0.68 2: ¬(occupation; mathematician)=0.47 3: ¬(occupation; engineer)=0.44]
Edgar F. Codd	[1: ¬(member of; National Academy of Sciences)=0.51 2: ¬(member of; National Academy of Engineering)=0.51 3: ¬(occupation; engineer)=0.44]
Maurice Wilkes	[1: ¬(citizen; United States of America)=0.72 2: ¬(member of; National Academy of Engineering)=0.51 3: ¬(employer; Stanford University)=0.19]
Niklaus Wirth	[1: ¬(citizen; United States of America)=0.72 2: ¬(field; computer science)=0.54 3: ¬(member of; National Academy of Sciences)=0.51]
Kristen Nygaard	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.72 3: ¬(member of; Association for Computing Machinery)=0.57]
Peter Naur	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.72 3: ¬(member of; Association for Computing Machinery)=0.57]
Bob Kahn	[1: ¬(occupation; university teacher)=0.68 2: ¬(occupation; mathematician)=0.47 3: ¬(member of; Royal Society)=0.22]
Geoffrey Hinton	[1: ¬(citizen; United States of America)=0.72 2: ¬(occupation; university teacher)=0.68 3: ¬(member of; Association for Computing Machinery)=0.57]
Butler Lampson	[1: ¬(occupation; mathematician)=0.47 2: ¬(employer; Stanford University)=0.19 3: ¬(field; informatics)=0.18]
Michael O. Rabin	[1: ¬(citizen; United States of America)=0.72 2: ¬(member of; Association for Computing Machinery)=0.57 3: ¬(field; computer science)=0.54]
Adi Shamir	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.72 3: ¬(occupation; university teacher)=0.68]
Alan Kay	[1: ¬(member of; National Academy of Sciences)=0.51 2: ¬(occupation; mathematician)=0.47 3: ¬(occupation; engineer)=0.44]
Fernando J. Corbató	[1: ¬(field; computer science)=0.54 2: ¬(member of; National Academy of Sciences)=0.51 3: ¬(occupation; mathematician)=0.47]
