Vedanta Wake Up – Arapalayam Bus Stand	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Newspapers; 1)=0.54]
Hotel Skyview	[1: ¬(Food & Drink_Restaurant; 1)=0.54 2: ¬(Activities_Massage; 1)=0.5 3: ¬(Activities_Bicycle rental; 1)=0.42]
The Queeny	[1: ¬(General_Air conditioning; 1)=0.82 2: ¬(Cleaning services_Ironing service; 1)=0.56 3: ¬(General_Car hire; 1)=0.53]
OYO Rooms RT Nagar HMT Playground	[1: ¬(Bathroom_Toilet; 1)=0.76 2: ¬(Bathroom_Bathroom; 1)=0.74 3: ¬(Food & Drink_Restaurant; 1)=0.67]
Coramandal Heritage	[1: ¬(Bathroom_Toilet; 1)=0.84 2: ¬(Bathroom_Bathroom; 1)=0.82 3: ¬(Bathroom_Shower; 1)=0.66]
Deccan Comforts	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5]
Eden Residency	[1: ¬(Pets_Pets are not allowed.; 1)=0.93 2: ¬(Bathroom_Bathroom; 1)=0.77 3: ¬(Bathroom_Free toiletries; 1)=0.5]
Central Ninamma Boutique Resort, Gangtok	[1: ¬(Bathroom_Toilet; 1)=0.81 2: ¬(Bathroom_Bathroom; 1)=0.78 3: ¬(Bathroom_Shower; 1)=0.71]
The Sultan Resort	[1: ¬(General_Newspapers; 1)=0.54 2: ¬(General_Fan; 1)=0.46 3: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.45]
Hotel Galaxy Inn	[1: ¬(Pets_Pets are not allowed.; 1)=0.9 2: ¬(Bathroom_Toilet; 1)=0.77 3: ¬(Bathroom_Shower; 1)=0.72]
OYO Rooms Samarth Nagar Road Varad Ganesh Mandir	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
OYO Premium Mylapore Temple	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Heritage Apartment	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Bathroom_Bathroom; 1)=0.59 3: ¬(Bathroom_Toilet; 1)=0.59]
Hotel Maharani Regency	[1: ¬(Bathroom_Bathroom; 1)=0.79 2: ¬(Bathroom_Toilet; 1)=0.77 3: ¬(Bathroom_Shower; 1)=0.72]
Superior Nk Apartments Benaulim Goa	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(General_Air conditioning; 1)=0.54 3: ¬(General_Newspapers; 1)=0.54]
Sheen Guest House	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5]
Hotel Stay Well Dx	[1: ¬(Food & Drink_Restaurant; 1)=0.67 2: ¬(Business facilities_Meeting/banquet facilities; 1)=0.49 3: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.48]
OYO Premium Fateh Sagar Lake Side	[1: ¬(Bathroom_Shower; 1)=0.53 2: ¬(General_Fan; 1)=0.46 3: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.45]
Hotel Apex Regency	[1: ¬(General_Newspapers; 1)=0.54 2: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.45 3: ¬(Cleaning services_Laundry; 1)=0.43]
Hotel Pooja Residency	[1: ¬(General_Newspapers; 1)=0.54 2: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5 3: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.45]
OYO Rooms 7A/43 Channa Market Karol Bagh	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Hotel Golf Links	[1: ¬(General_Air conditioning; 1)=0.82 2: ¬(Reception services_24-hour front desk; 1)=0.63 3: ¬(General_Fan; 1)=0.59]
Ekant Resort	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
