name	occupation	gender	citizen	employer	member of	academic degree	religion	residence	ethnicity	field	education	
Donald Knuth	computer scientist,academic,programmer,historian of mathematics,writer,university teacher,mathematician,engineer	male	United States of America	California Institute of Technology,Stanford University,Burroughs Corporation,Institute for Defense Analyses	National Academy of Engineering,National Academy of Sciences,Association for Computing Machinery,London Mathematical Society,Royal Society,Institute of Electrical and Electronics Engineers,French Academy of Sciences,Russian Academy of Sciences,Norwegian Academy of Science and Letters,American Academy of Arts and Sciences,American Philosophical Society,American Mathematical Society,Bavarian Academy of Sciences and Humanities,British Computer Society	Doctor of Philosophy	Lutheranism			analysis of algorithms,computer science,combinatorics	California Institute of Technology,Milwaukee Lutheran High School,Case Western Reserve University	
Leslie Lamport	computer scientist,programmer,writer,mathematician,engineer	male	United States of America	SRI International,Microsoft Research,Digital Equipment Corporation,Mitre Corporation	National Academy of Sciences,American Academy of Arts and Sciences	Doctor of Philosophy,Master of Science				computer science	Massachusetts Institute of Technology,Brandeis University,The Bronx High School of Science	
Douglas Engelbart	inventor	male	United States of America	SRI International,McDonnell Douglas,University of California  Berkeley,Tymshare	National Academy of Engineering,American Academy of Arts and Sciences			Portland,Atherton		electrical engineering,informatics,invention	University of Oregon,Oregon State University,University of California  Berkeley	
Tim Berners-Lee	computer scientist,programmer,web developer,inventor,university teacher,engineer,physicist	male	United Kingdom	School of Electronics and Computer Science  University of Southampton,CERN,Massachusetts Institute of Technology,World Wide Web Consortium,Plessey,Open Data Institute	National Academy of Engineering,National Academy of Sciences,American Academy of Arts and Sciences,Association for Computing Machinery,Royal Society	professor,Bachelor of Arts	Unitarian Universalism	Concord	English people	information technology,computer science	The Queen's College,Emanuel School	
Richard Hamming	computer scientist,mathematician,engineer	male	United States of America	Naval Postgraduate School,Manhattan Project,University of Illinois system,Bell Labs,University of Louisville	Association for Computing Machinery,Institute of Electrical and Electronics Engineers					mathematics,information theory	University of Chicago,University of Illinois at Urbana–Champaign,University of Nebraska–Lincoln	
Shafrira Goldwasser	cryptographer,computer scientist,university teacher,mathematician,engineer	female	United States of America,Israel	Massachusetts Institute of Technology,Weizmann Institute of Science	National Academy of Engineering,National Academy of Sciences,American Academy of Arts and Sciences,Israel Academy of Sciences and Humanities			Israel		computer science	Carnegie Mellon University,University of California  Berkeley	
Fernando J. Corbató	computer scientist,university teacher	male	United States of America	Massachusetts Institute of Technology	National Academy of Engineering,Association for Computing Machinery,American Academy of Arts and Sciences						Massachusetts Institute of Technology,California Institute of Technology	
Manuel Blum	computer scientist,university teacher	male	United States of America	Carnegie Mellon University,University of California  Berkeley	National Academy of Engineering,National Academy of Sciences,American Academy of Arts and Sciences			Pittsburgh		computer science	Massachusetts Institute of Technology	
Juris Hartmanis	computer scientist,university teacher,mathematician	male	Latvia,United States of America	General Electric,Ohio State University,Cornell University,Santa Fe Institute	National Academy of Engineering,National Academy of Sciences,Association for Computing Machinery,American Academy of Arts and Sciences,American Mathematical Society,Latvian Academy of Sciences					computer science,informatics	Massachusetts Institute of Technology,University of Marburg,California Institute of Technology,University of Missouri–Kansas City	
Peter Naur	computer scientist,astronomer,university teacher	male	Denmark	Regnecentralen,Technical University of Denmark,University of Copenhagen		Doctor of Philosophy				computer science	University of Copenhagen	
Robert Tarjan	computer scientist,scientist,university teacher,mathematician	male	United States of America	Princeton University,Massachusetts Institute of Technology,Stanford University,Hewlett-Packard,New York University,University of California  Berkeley,Cornell University,Bell Labs	National Academy of Engineering,National Academy of Sciences,Association for Computing Machinery,American Academy of Arts and Sciences,American Philosophical Society,American Association for the Advancement of Science			Princeton		informatics	Stanford University,California Institute of Technology	
Dana Scott	computer scientist,topologist,university teacher,mathematician,engineer	male	United States of America	University of Chicago,Carnegie Mellon University,Johannes Kepler University Linz,University of California  Berkeley	National Academy of Sciences,Academia Europaea,Association for Computing Machinery,American Academy of Arts and Sciences,American Mathematical Society,Finnish Academy of Science and Letters	Doctor of Philosophy				model theory,computer programming,lattice,topology,mathematical logic	Princeton University,University of California  Berkeley	
Bob Kahn	computer scientist,electrical engineer,inventor,patent inventor,engineer	male	United States of America	Massachusetts Institute of Technology	National Academy of Engineering,National Academy of Sciences,Association for Computing Machinery,American Academy of Arts and Sciences	Doctor of Philosophy				computer science	Princeton University,City College of New York	
John Edward Hopcroft	computer scientist,university teacher	male	United States of America	Seattle University,Cornell University	National Academy of Engineering,National Academy of Sciences,American Academy of Arts and Sciences,Association for Computing Machinery					informatics	Stanford University,Seattle University	
James H. Wilkinson	computer scientist,mathematician	male	United Kingdom	Stanford University,National Physical Laboratory	honorary member,Association for Computing Machinery,American Academy of Arts and Sciences,Royal Society,Bavarian Academy of Sciences and Humanities,Society for Industrial and Applied Mathematics					numerical linear algebra,numerical analysis	Trinity College,Sir Joseph Williamson's Mathematical School	
Kenneth E. Iverson	computer scientist,mathematician	male	Canada	IBM,Harvard University	National Academy of Engineering					computer programming	Queen's University,Harvard School of Engineering and Applied Sciences,Harvard University	
Maurice Wilkes	computer scientist,university teacher,mathematician,engineer,physicist	male	United Kingdom	Massachusetts Institute of Technology,Digital Equipment Corporation,Olivetti,University of Cambridge	National Academy of Sciences,Royal Academy of Engineering of Spain,Association for Computing Machinery,American Academy of Arts and Sciences,Royal Society	Doctor of Philosophy				computer science	St John's College,King Edward VI College Stourbridge,University of Cambridge	
John Cocke	computer scientist,university teacher,mathematician,engineer	male	United States of America	Massachusetts Institute of Technology,IBM,New York University	National Academy of Sciences,American Academy of Arts and Sciences					informatics	Duke University	
Andrew Yao	computer scientist,university teacher	male	United States of America,People's Republic of China	Princeton University,Stanford University,Tsinghua University,University of California  Berkeley,University of California  San Diego	National Academy of Sciences,Association for Computing Machinery,American Academy of Arts and Sciences,Academia Sinica,Academic Division of Information Technical Sciences of the Chinese Academy of Sciences					computer science,informatics	National Taiwan University,University of Illinois at Urbana–Champaign,University of Illinois system,Harvard University	
Edsger W. Dijkstra	computer scientist,university teacher,mathematician,engineer,physicist	male	Kingdom of the Netherlands	Radboud University Nijmegen,University of Texas at Austin,Burroughs Corporation,Centrum Wiskunde & Informatica,Eindhoven University of Technology	Royal Netherlands Academy of Arts and Sciences,American Academy of Arts and Sciences,Association for Computing Machinery					informatics	University of Amsterdam,Leiden University,Gymnasium Erasmianum,University of Texas at Austin	
Geoffrey Hinton	computer scientist,artificial intelligence researcher	male	Canada,United Kingdom	Carnegie Mellon University,Google,University of Toronto	National Academy of Engineering,European Laboratory for Learning and Intelligent Systems,American Academy of Arts and Sciences,Royal Society of Canada,Royal Society,Association for the Advancement of Artificial Intelligence			Canada		deep learning,machine learning	University of Edinburgh	
Silvio Micali	computer scientist,cryptographer,university teacher,mathematician	male	United States of America	Massachusetts Institute of Technology	National Academy of Engineering,National Academy of Sciences,American Academy of Arts and Sciences					computer science	University of California  Berkeley,Sapienza University of Rome	
Frances E. Allen	computer scientist,university teacher,engineer	female	United States of America	IBM,New York University,University of California  Berkeley,University of California  San Diego	National Academy of Engineering,National Academy of Sciences,American Academy of Arts and Sciences,Association for Computing Machinery,Institute of Electrical and Electronics Engineers					computational science,computer science	State University of New York at Albany	
Ivan Sutherland	computer scientist,programmer,inventor,university teacher,engineer	male	United States of America	California Institute of Technology,Sun Microsystems,University of Utah,Harvard University	National Academy of Engineering,National Academy of Sciences,American Academy of Arts and Sciences,Association for Computing Machinery					computer graphics	Massachusetts Institute of Technology,Carnegie Mellon University,California Institute of Technology	
Dennis M. Ritchie	computer scientist,programmer,writer,mathematician	male	United States of America	Bell Labs						computer science	Harvard University	
Michael O. Rabin	cryptographer,computer scientist,pedagogue,university teacher,mathematician	male	Israel	Technion – Israel Institute of Technology,Massachusetts Institute of Technology,Columbia University,California Institute of Technology,New York University,Harvard University,University of California  Berkeley	French Academy of Sciences,National Academy of Sciences,American Academy of Arts and Sciences,American Philosophical Society,Israel Academy of Sciences and Humanities,Royal Society					informatics	Hebrew University of Jerusalem,Hebrew Reali School	
Allen Newell	computer scientist,university teacher,mathematician,psychologist,physicist	male	United States of America	Carnegie Mellon University,RAND Corporation	National Academy of Sciences,American Academy of Arts and Sciences					computer science	Princeton University,Carnegie Mellon University,Stanford University,Tepper School of Business	
Robin Milner	computer scientist,university teacher,engineer	male	United Kingdom	Stanford University,Swansea University,University of Edinburgh,City  University of London	French Academy of Sciences,Academia Europaea,Royal Society of Edinburgh,Association for Computing Machinery,Royal Society					computer science	Eton College,King's College	
