name	occupation	gender	citizenship	noble title	place of birth	employer	member of	academic degree	religion	award
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		Turing Award
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		Turing Award
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		Turing Award
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		Turing Award
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		Turing Award
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		Turing Award
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		Turing Award
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		Turing Award
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Master of Science		Turing Award
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Master of Science		Turing Award
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Master of Science		Turing Award
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Master of Science		Turing Award
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		Turing Award
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		Turing Award
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		Turing Award
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		Turing Award
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		IEEE John von Neumann Medal
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		IEEE John von Neumann Medal
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		IEEE John von Neumann Medal
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		IEEE John von Neumann Medal
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		IEEE John von Neumann Medal
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		IEEE John von Neumann Medal
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		IEEE John von Neumann Medal
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		IEEE John von Neumann Medal
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Master of Science		IEEE John von Neumann Medal
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Master of Science		IEEE John von Neumann Medal
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Master of Science		IEEE John von Neumann Medal
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Master of Science		IEEE John von Neumann Medal
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		IEEE John von Neumann Medal
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		IEEE John von Neumann Medal
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		IEEE John von Neumann Medal
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		IEEE John von Neumann Medal
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		Dijkstra Prize
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		Dijkstra Prize
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		Dijkstra Prize
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		Dijkstra Prize
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		Dijkstra Prize
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		Dijkstra Prize
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		Dijkstra Prize
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		Dijkstra Prize
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Master of Science		Dijkstra Prize
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Master of Science		Dijkstra Prize
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Master of Science		Dijkstra Prize
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Master of Science		Dijkstra Prize
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		Dijkstra Prize
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		Dijkstra Prize
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		Dijkstra Prize
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		Dijkstra Prize
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		IEEE Emanuel R. Piore Award
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		IEEE Emanuel R. Piore Award
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		IEEE Emanuel R. Piore Award
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		IEEE Emanuel R. Piore Award
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		IEEE Emanuel R. Piore Award
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		IEEE Emanuel R. Piore Award
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		IEEE Emanuel R. Piore Award
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		IEEE Emanuel R. Piore Award
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Master of Science		IEEE Emanuel R. Piore Award
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Master of Science		IEEE Emanuel R. Piore Award
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Master of Science		IEEE Emanuel R. Piore Award
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Master of Science		IEEE Emanuel R. Piore Award
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		IEEE Emanuel R. Piore Award
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		IEEE Emanuel R. Piore Award
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		IEEE Emanuel R. Piore Award
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		IEEE Emanuel R. Piore Award
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		doctor honoris causa
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		doctor honoris causa
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		doctor honoris causa
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Doctor of Philosophy		doctor honoris causa
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		doctor honoris causa
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		doctor honoris causa
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		doctor honoris causa
Leslie Lamport	programmer	male	United States of America		New York City		American Academy of Arts and Sciences	Doctor of Philosophy		doctor honoris causa
Leslie Lamport	engineer	male	United States of America		New York City		National Academy of Sciences	Master of Science		doctor honoris causa
Leslie Lamport	computer scientist	male	United States of America		New York City		National Academy of Sciences	Master of Science		doctor honoris causa
Leslie Lamport	mathematician	male	United States of America		New York City		National Academy of Sciences	Master of Science		doctor honoris causa
Leslie Lamport	programmer	male	United States of America		New York City		National Academy of Sciences	Master of Science		doctor honoris causa
Leslie Lamport	engineer	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		doctor honoris causa
Leslie Lamport	computer scientist	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		doctor honoris causa
Leslie Lamport	mathematician	male	United States of America		New York City		American Academy of Arts and Sciences	Master of Science		doctor honoris causa
